# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
240           	4.107476e-01	1.951729e-01	2.155747e-01	7.083865e-02	1.908163e-01	-1.199776e-01	1.553969e-01	-1.020089e-02	1.642362e-03	1.242259e-02	7.853658e-03	4.568934e-03
241           	4.106978e-01	1.951920e-01	2.155058e-01	7.082203e-02	1.907808e-01	-1.199588e-01	1.553698e-01	-1.015691e-02	1.633668e-03	1.240869e-02	7.838014e-03	4.570678e-03
242           	4.105332e-01	1.951607e-01	2.153725e-01	7.067525e-02	1.906195e-01	-1.199442e-01	1.552819e-01	-1.010588e-02	1.592271e-03	1.238133e-02	7.782935e-03	4.598392e-03
243           	4.105003e-01	1.951986e-01	2.153017e-01	7.067978e-02	1.906127e-01	-1.199329e-01	1.552728e-01	-1.005155e-02	1.563316e-03	1.235302e-02	7.739827e-03	4.613196e-03
244           	4.103537e-01	1.951741e-01	2.151796e-01	7.060518e-02	1.905412e-01	-1.199360e-01	1.552386e-01	-1.000272e-02	1.514626e-03	1.232855e-02	7.678898e-03	4.649647e-03
245           	4.103417e-01	1.952247e-01	2.151170e-01	7.061043e-02	1.905665e-01	-1.199561e-01	1.552613e-01	-9.946128e-03	1.482302e-03	1.229367e-02	7.629139e-03	4.664536e-03
246           	4.102071e-01	1.951969e-01	2.150102e-01	7.052986e-02	1.905139e-01	-1.199841e-01	1.552490e-01	-9.906669e-03	1.417393e-03	1.230177e-02	7.568279e-03	4.733494e-03
247           	4.102331e-01	1.952447e-01	2.149885e-01	7.056900e-02	1.906016e-01	-1.200326e-01	1.553171e-01	-9.871894e-03	1.367528e-03	1.233192e-02	7.533490e-03	4.798434e-03
248           	4.101401e-01	1.952167e-01	2.149234e-01	7.048407e-02	1.905810e-01	-1.200969e-01	1.553389e-01	-9.853322e-03	1.289915e-03	1.238752e-02	7.483677e-03	4.903847e-03
249           	4.101776e-01	1.952639e-01	2.149137e-01	7.049425e-02	1.906499e-01	-1.201557e-01	1.554028e-01	-9.824874e-03	1.241229e-03	1.243064e-02	7.456548e-03	4.974091e-03
250           	4.100925e-01	1.952216e-01	2.148709e-01	7.042802e-02	1.906545e-01	-1.202264e-01	1.554405e-01	-9.824616e-03	1.161620e-03	1.253075e-02	7.426997e-03	5.103756e-03
251           	4.101725e-01	1.952585e-01	2.149140e-01	7.042990e-02	1.907485e-01	-1.203186e-01	1.555336e-01	-9.827758e-03	1.110773e-03	1.265041e-02	7.435980e-03	5.214434e-03
252           	4.101124e-01	1.951948e-01	2.149175e-01	7.031028e-02	1.907223e-01	-1.204120e-01	1.555672e-01	-9.861345e-03	1.039512e-03	1.282456e-02	7.451791e-03	5.372767e-03
253           	4.101897e-01	1.951900e-01	2.149997e-01	7.030329e-02	1.908094e-01	-1.205061e-01	1.556578e-01	-9.904857e-03	9.909428e-04	1.303373e-02	7.507807e-03	5.525921e-03
254           	4.101451e-01	1.951015e-01	2.150436e-01	7.020138e-02	1.908054e-01	-1.206041e-01	1.557047e-01	-9.971025e-03	9.181124e-04	1.327905e-02	7.557637e-03	5.721412e-03
255           	4.102524e-01	1.950781e-01	2.151743e-01	7.019014e-02	1.908893e-01	-1.206991e-01	1.557942e-01	-1.004813e-02	8.671619e-04	1.356139e-02	7.647858e-03	5.913534e-03
256           	4.102247e-01	1.949653e-01	2.152594e-01	7.008386e-02	1.908775e-01	-1.207936e-01	1.558355e-01	-1.014706e-02	7.977780e-04	1.386996e-02	7.732760e-03	6.137204e-03
257           	4.103348e-01	1.949285e-01	2.154063e-01	7.009584e-02	1.909793e-01	-1.208834e-01	1.559314e-01	-1.023888e-02	7.506330e-04	1.415945e-02	7.830359e-03	6.329093e-03
258           	4.103219e-01	1.947989e-01	2.155230e-01	6.997491e-02	1.909632e-01	-1.209883e-01	1.559757e-01	-1.036205e-02	6.711717e-04	1.450247e-02	7.922408e-03	6.580064e-03
259           	4.104635e-01	1.947425e-01	2.157210e-01	6.998313e-02	1.910716e-01	-1.210884e-01	1.560800e-01	-1.048923e-02	6.057424e-04	1.485616e-02	8.033820e-03	6.822335e-03
260           	4.104767e-01	1.946195e-01	2.158572e-01	6.990119e-02	1.910944e-01	-1.211933e-01	1.561438e-01	-1.061882e-02	5.381071e-04	1.517947e-02	8.127843e-03	7.051629e-03
261           	4.106002e-01	1.945610e-01	2.160392e-01	6.991830e-02	1.912196e-01	-1.213013e-01	1.562605e-01	-1.073912e-02	4.996124e-04	1.545797e-02	8.228599e-03	7.229374e-03
262           	4.106081e-01	1.944368e-01	2.161713e-01	6.982885e-02	1.912550e-01	-1.214262e-01	1.563406e-01	-1.086724e-02	4.629455e-04	1.571474e-02	8.320315e-03	7.394424e-03
263           	4.107352e-01	1.943538e-01	2.163814e-01	6.982417e-02	1.913902e-01	-1.215661e-01	1.564781e-01	-1.101377e-02	4.488845e-04	1.598651e-02	8.442140e-03	7.544371e-03
264           	4.107413e-01	1.942166e-01	2.165247e-01	6.976401e-02	1.914446e-01	-1.216806e-01	1.565626e-01	-1.115406e-02	4.410336e-04	1.620540e-02	8.543734e-03	7.661667e-03
265           	4.108703e-01	1.941361e-01	2.167342e-01	6.977601e-02	1.915908e-01	-1.218148e-01	1.567028e-01	-1.129909e-02	4.759357e-04	1.641196e-02	8.681914e-03	7.730043e-03
266           	4.108976e-01	1.940053e-01	2.168922e-01	6.969943e-02	1.916467e-01	-1.219473e-01	1.567970e-01	-1.144345e-02	5.003380e-04	1.660322e-02	8.801948e-03	7.801272e-03
267           	4.110650e-01	1.939453e-01	2.171197e-01	6.968187e-02	1.917939e-01	-1.221121e-01	1.569530e-01	-1.158725e-02	5.770637e-04	1.675579e-02	8.954958e-03	7.800830e-03
268           	4.111419e-01	1.938662e-01	2.172756e-01	6.958605e-02	1.918516e-01	-1.222656e-01	1.570586e-01	-1.170472e-02	6.405502e-04	1.684800e-02	9.064550e-03	7.783450e-03
269           	4.113951e-01	1.938801e-01	2.175150e-01	6.952103e-02	1.919731e-01	-1.224521e-01	1.572126e-01	-1.181744e-02	7.608738e-04	1.688384e-02	9.202796e-03	7.681049e-03
270           	4.114259e-01	1.938162e-01	2.176097e-01	6.939675e-02	1.919615e-01	-1.225648e-01	1.572631e-01	-1.189674e-02	8.495475e-04	1.687878e-02	9.288940e-03	7.589845e-03
271           	4.116130e-01	1.938513e-01	2.177616e-01	6.939523e-02	1.920764e-01	-1.226811e-01	1.573788e-01	-1.195513e-02	9.798233e-04	1.682839e-02	9.394019e-03	7.434373e-03
272           	4.116576e-01	1.938266e-01	2.178310e-01	6.927799e-02	1.920658e-01	-1.227878e-01	1.574268e-01	-1.200220e-02	1.101886e-03	1.675289e-02	9.478330e-03	7.274558e-03
273           	4.117916e-01	1.938735e-01	2.179181e-01	6.925551e-02	1.921166e-01	-1.228611e-01	1.574889e-01	-1.202228e-02	1.241008e-03	1.665223e-02	9.567121e-03	7.085105e-03
274           	4.117688e-01	1.938344e-01	2.179344e-01	6.916265e-02	1.920760e-01	-1.229133e-01	1.574946e-01	-1.205001e-02	1.348202e-03	1.657721e-02	9.636807e-03	6.940404e-03
275           	4.118447e-01	1.938656e-01	2.179790e-01	6.916658e-02	1.921166e-01	-1.229500e-01	1.575333e-01	-1.205670e-02	1.471427e-03	1.648141e-02	9.712131e-03	6.769277e-03
276           	4.117468e-01	1.938126e-01	2.179342e-01	6.904131e-02	1.920116e-01	-1.229703e-01	1.574909e-01	-1.206082e-02	1.586083e-03	1.635990e-02	9.766035e-03	6.593869e-03
277           	4.117687e-01	1.938278e-01	2.179408e-01	6.903470e-02	1.920028e-01	-1.229681e-01	1.574855e-01	-1.205651e-02	1.687232e-03	1.626953e-02	9.821999e-03	6.447536e-03
278           	4.116061e-01	1.937518e-01	2.178543e-01	6.890771e-02	1.918763e-01	-1.229686e-01	1.574224e-01	-1.205126e-02	1.781078e-03	1.615773e-02	9.859941e-03	6.297785e-03
279           	4.116508e-01	1.937830e-01	2.178678e-01	6.888225e-02	1.918680e-01	-1.229857e-01	1.574269e-01	-1.204237e-02	1.865892e-03	1.607816e-02	9.904970e-03	6.173185e-03
280           	4.115130e-01	1.937169e-01	2.177961e-01	6.871848e-02	1.917129e-01	-1.229944e-01	1.573536e-01	-1.203962e-02	1.953487e-03	1.599090e-02	9.948937e-03	6.041962e-03
281           	4.115829e-01	1.937586e-01	2.178243e-01	6.869880e-02	1.917159e-01	-1.230171e-01	1.573665e-01	-1.203289e-02	2.035031e-03	1.593358e-02	1.000182e-02	5.931762e-03
282           	4.114626e-01	1.936847e-01	2.177779e-01	6.852201e-02	1.915422e-01	-1.230202e-01	1.572812e-01	-1.204662e-02	2.120584e-03	1.591512e-02	1.007815e-02	5.836977e-03
283           	4.115487e-01	1.937491e-01	2.177996e-01	6.854175e-02	1.915814e-01	-1.230397e-01	1.573106e-01	-1.202524e-02	2.213117e-03	1.585462e-02	1.014043e-02	5.714193e-03
284           	4.114712e-01	1.936883e-01	2.177828e-01	6.839232e-02	1.914280e-01	-1.230357e-01	1.572318e-01	-1.204726e-02	2.301664e-03	1.588062e-02	1.024197e-02	5.638646e-03
285           	4.115763e-01	1.937719e-01	2.178044e-01	6.840693e-02	1.914657e-01	-1.230588e-01	1.572622e-01	-1.201629e-02	2.396357e-03	1.582830e-02	1.031051e-02	5.517795e-03
286           	4.115132e-01	1.937209e-01	2.177923e-01	6.831120e-02	1.913663e-01	-1.230551e-01	1.572107e-01	-1.203569e-02	2.479430e-03	1.586737e-02	1.041311e-02	5.454254e-03
287           	4.116171e-01	1.937828e-01	2.178343e-01	6.834519e-02	1.914017e-01	-1.230565e-01	1.572291e-01	-1.202577e-02	2.559500e-03	1.586728e-02	1.049314e-02	5.374142e-03
288           	4.115862e-01	1.937636e-01	2.178226e-01	6.830804e-02	1.913710e-01	-1.230629e-01	1.572170e-01	-1.202946e-02	2.609089e-03	1.587444e-02	1.054631e-02	5.328130e-03
289           	4.116921e-01	1.938284e-01	2.178637e-01	6.833968e-02	1.914201e-01	-1.230804e-01	1.572503e-01	-1.201765e-02	2.664155e-03	1.586549e-02	1.059690e-02	5.268588e-03
290           	4.116309e-01	1.937893e-01	2.178416e-01	6.826904e-02	1.913508e-01	-1.230817e-01	1.572163e-01	-1.202614e-02	2.684973e-03	1.588353e-02	1.062674e-02	5.256791e-03
291           	4.117384e-01	1.938222e-01	2.179162e-01	6.831552e-02	1.914200e-01	-1.231045e-01	1.572623e-01	-1.204701e-02	2.695213e-03	1.594669e-02	1.066856e-02	5.278134e-03
292           	4.117244e-01	1.937856e-01	2.179388e-01	6.825307e-02	1.913907e-01	-1.231377e-01	1.572642e-01	-1.207657e-02	2.688041e-03	1.600428e-02	1.069018e-02	5.314100e-03
293           	4.118467e-01	1.937884e-01	2.180583e-01	6.826208e-02	1.914454e-01	-1.231833e-01	1.573144e-01	-1.213493e-02	2.668286e-03	1.614533e-02	1.074095e-02	5.404380e-03
294           	4.118165e-01	1.937066e-01	2.181099e-01	6.816688e-02	1.913876e-01	-1.232208e-01	1.573042e-01	-1.220161e-02	2.637152e-03	1.628671e-02	1.078051e-02	5.506203e-03
295           	4.119370e-01	1.936835e-01	2.182535e-01	6.818719e-02	1.914630e-01	-1.232758e-01	1.573694e-01	-1.228502e-02	2.612143e-03	1.648266e-02	1.085347e-02	5.629185e-03
296           	4.119500e-01	1.935933e-01	2.183567e-01	6.810404e-02	1.914496e-01	-1.233456e-01	1.573976e-01	-1.238172e-02	2.584989e-03	1.668195e-02	1.092596e-02	5.755986e-03
297           	4.120630e-01	1.935471e-01	2.185159e-01	6.810177e-02	1.915104e-01	-1.234087e-01	1.574595e-01	-1.248438e-02	2.574831e-03	1.690989e-02	1.102977e-02	5.880113e-03
298           	4.120677e-01	1.934275e-01	2.186402e-01	6.803132e-02	1.915114e-01	-1.234801e-01	1.574958e-01	-1.260631e-02	2.552963e-03	1.715716e-02	1.113154e-02	6.025617e-03
299           	4.122002e-01	1.933713e-01	2.188289e-01	6.808077e-02	1.916323e-01	-1.235516e-01	1.575920e-01	-1.272878e-02	2.548292e-03	1.742034e-02	1.125846e-02	6.161879e-03
300           	4.122089e-01	1.932576e-01	2.189513e-01	6.802717e-02	1.916512e-01	-1.236240e-01	1.576376e-01	-1.284686e-02	2.548869e-03	1.764698e-02	1.137236e-02	6.274618e-03
301           	4.123348e-01	1.932002e-01	2.191346e-01	6.810504e-02	1.917954e-01	-1.236904e-01	1.577429e-01	-1.296718e-02	2.560608e-03	1.788505e-02	1.150313e-02	6.381919e-03
302           	4.123422e-01	1.930891e-01	2.192531e-01	6.811375e-02	1.918697e-01	-1.237560e-01	1.578128e-01	-1.308204e-02	2.564060e-03	1.808729e-02	1.160770e-02	6.479584e-03
303           	4.124834e-01	1.930468e-01	2.194366e-01	6.821585e-02	1.920357e-01	-1.238198e-01	1.579278e-01	-1.319487e-02	2.569712e-03	1.829340e-02	1.171641e-02	6.576990e-03
304           	4.124780e-01	1.929512e-01	2.195268e-01	6.826777e-02	1.921197e-01	-1.238520e-01	1.579858e-01	-1.328784e-02	2.575101e-03	1.843212e-02	1.179116e-02	6.640958e-03
305           	4.125944e-01	1.929212e-01	2.196732e-01	6.845538e-02	1.923259e-01	-1.238705e-01	1.580982e-01	-1.337600e-02	2.583301e-03	1.857123e-02	1.186891e-02	6.702312e-03
306           	4.125828e-01	1.928369e-01	2.197459e-01	6.854375e-02	1.924256e-01	-1.238819e-01	1.581538e-01	-1.345451e-02	2.582321e-03	1.867420e-02	1.191942e-02	6.754777e-03
307           	4.127206e-01	1.928239e-01	2.198967e-01	6.875770e-02	1.926525e-01	-1.238948e-01	1.582737e-01	-1.353642e-02	2.586543e-03	1.880841e-02	1.199075e-02	6.817663e-03
308           	4.127112e-01	1.927461e-01	2.199651e-01	6.887527e-02	1.927652e-01	-1.238899e-01	1.583275e-01	-1.360949e-02	2.594380e-03	1.890563e-02	1.204719e-02	6.858435e-03
309           	4.128493e-01	1.927220e-01	2.201273e-01	6.909158e-02	1.929920e-01	-1.239004e-01	1.584462e-01	-1.370262e-02	2.613637e-03	1.907446e-02	1.215087e-02	6.923592e-03
310           	4.128513e-01	1.926330e-01	2.202182e-01	6.921313e-02	1.931274e-01	-1.239143e-01	1.585208e-01	-1.379261e-02	2.629374e-03	1.923415e-02	1.224645e-02	6.987702e-03
311           	4.130104e-01	1.926071e-01	2.204033e-01	6.940643e-02	1.933499e-01	-1.239434e-01	1.586466e-01	-1.389808e-02	2.659226e-03	1.945155e-02	1.238500e-02	7.066548e-03
312           	4.130188e-01	1.925145e-01	2.205043e-01	6.950205e-02	1.934662e-01	-1.239642e-01	1.587152e-01	-1.399489e-02	2.686974e-03	1.964051e-02	1.250723e-02	7.133281e-03
313           	4.131757e-01	1.924885e-01	2.206871e-01	6.966245e-02	1.936748e-01	-1.240124e-01	1.588436e-01	-1.409929e-02	2.728126e-03	1.987371e-02	1.266498e-02	7.208727e-03
314           	4.131560e-01	1.923893e-01	2.207667e-01	6.975170e-02	1.937728e-01	-1.240211e-01	1.588970e-01	-1.418870e-02	2.751746e-03	2.007333e-02	1.278841e-02	7.284918e-03
315           	4.132499e-01	1.923380e-01	2.209119e-01	6.991319e-02	1.939465e-01	-1.240333e-01	1.589899e-01	-1.428696e-02	2.777601e-03	2.031821e-02	1.293671e-02	7.381505e-03
316           	4.132065e-01	1.922223e-01	2.209843e-01	7.000203e-02	1.940345e-01	-1.240325e-01	1.590335e-01	-1.438101e-02	2.788151e-03	2.053414e-02	1.305522e-02	7.478919e-03
317           	4.132644e-01	1.921649e-01	2.210995e-01	7.011471e-02	1.941492e-01	-1.240345e-01	1.590919e-01	-1.446731e-02	2.795543e-03	2.075021e-02	1.317065e-02	7.579563e-03
318           	4.131410e-01	1.920059e-01	2.211352e-01	7.013716e-02	1.941141e-01	-1.239770e-01	1.590456e-01	-1.456467e-02	2.779842e-03	2.099278e-02	1.327623e-02	7.716550e-03
319           	4.131879e-01	1.919678e-01	2.212201e-01	7.024677e-02	1.942054e-01	-1.239586e-01	1.590820e-01	-1.462617e-02	2.773316e-03	2.117023e-02	1.335843e-02	7.811796e-03
320           	4.130905e-01	1.918634e-01	2.212271e-01	7.034068e-02	1.942408e-01	-1.239002e-01	1.590705e-01	-1.468185e-02	2.774330e-03	2.131291e-02	1.343079e-02	7.882125e-03
321           	4.131689e-01	1.918807e-01	2.212882e-01	7.045573e-02	1.943459e-01	-1.238902e-01	1.591180e-01	-1.470372e-02	2.791992e-03	2.139211e-02	1.348805e-02	7.904063e-03
322           	4.131123e-01	1.917933e-01	2.213190e-01	7.046612e-02	1.943219e-01	-1.238557e-01	1.590888e-01	-1.476282e-02	2.785369e-03	2.154216e-02	1.355645e-02	7.985709e-03
323           	4.132126e-01	1.918217e-01	2.213909e-01	7.056368e-02	1.944192e-01	-1.238555e-01	1.591373e-01	-1.478463e-02	2.802171e-03	2.161268e-02	1.360851e-02	8.004171e-03
324           	4.131448e-01	1.917178e-01	2.214270e-01	7.055684e-02	1.943815e-01	-1.238246e-01	1.591031e-01	-1.485457e-02	2.813046e-03	2.177086e-02	1.369848e-02	8.072386e-03
325           	4.132655e-01	1.917439e-01	2.215216e-01	7.061549e-02	1.944613e-01	-1.238459e-01	1.591536e-01	-1.488889e-02	2.829872e-03	2.187097e-02	1.376536e-02	8.105614e-03
326           	4.131867e-01	1.916147e-01	2.215720e-01	7.053162e-02	1.943747e-01	-1.238431e-01	1.591089e-01	-1.497865e-02	2.821758e-03	2.207324e-02	1.385838e-02	8.214861e-03
327           	4.132938e-01	1.916527e-01	2.216411e-01	7.052715e-02	1.944073e-01	-1.238802e-01	1.591438e-01	-1.499419e-02	2.817504e-03	2.213855e-02	1.388678e-02	8.251773e-03
328           	4.132546e-01	1.915651e-01	2.216895e-01	7.044086e-02	1.943406e-01	-1.238998e-01	1.591202e-01	-1.506221e-02	2.823607e-03	2.226762e-02	1.395742e-02	8.310205e-03
329           	4.133270e-01	1.915768e-01	2.217502e-01	7.042347e-02	1.943532e-01	-1.239297e-01	1.591415e-01	-1.508669e-02	2.830852e-03	2.231576e-02	1.398873e-02	8.327027e-03
330           	4.132738e-01	1.914989e-01	2.217749e-01	7.034193e-02	1.942839e-01	-1.239419e-01	1.591129e-01	-1.513797e-02	2.824220e-03	2.239972e-02	1.402408e-02	8.375639e-03
331           	4.133508e-01	1.914850e-01	2.218658e-01	7.030809e-02	1.942832e-01	-1.239751e-01	1.591291e-01	-1.519042e-02	2.832880e-03	2.249754e-02	1.408165e-02	8.415890e-03
332           	4.132598e-01	1.913673e-01	2.218925e-01	7.024598e-02	1.942126e-01	-1.239667e-01	1.590896e-01	-1.526263e-02	2.848899e-03	2.260951e-02	1.415365e-02	8.455856e-03
333           	4.132858e-01	1.913038e-01	2.219820e-01	7.026486e-02	1.942464e-01	-1.239815e-01	1.591139e-01	-1.533912e-02	2.882772e-03	2.275192e-02	1.425873e-02	8.493190e-03
334           	4.131962e-01	1.911538e-01	2.220424e-01	7.024298e-02	1.942081e-01	-1.239651e-01	1.590866e-01	-1.544432e-02	2.907000e-03	2.294452e-02	1.437926e-02	8.565261e-03
335           	4.132569e-01	1.910869e-01	2.221699e-01	7.024590e-02	1.942414e-01	-1.239955e-01	1.591184e-01	-1.554149e-02	2.945940e-03	2.313913e-02	1.451551e-02	8.623627e-03
336           	4.131433e-01	1.909134e-01	2.222299e-01	7.020643e-02	1.941546e-01	-1.239482e-01	1.590514e-01	-1.565822e-02	2.971591e-03	2.334676e-02	1.464497e-02	8.701788e-03
337           	4.131571e-01	1.908423e-01	2.223148e-01	7.024531e-02	1.941809e-01	-1.239356e-01	1.590582e-01	-1.573627e-02	3.011966e-03	2.348922e-02	1.475658e-02	8.732646e-03
338           	4.130326e-01	1.906923e-01	2.223404e-01	7.021475e-02	1.940881e-01	-1.238734e-01	1.589808e-01	-1.582404e-02	3.021503e-03	2.363775e-02	1.484038e-02	8.797370e-03
339           	4.130196e-01	1.906234e-01	2.223963e-01	7.018873e-02	1.940341e-01	-1.238454e-01	1.589398e-01	-1.588644e-02	3.037506e-03	2.375609e-02	1.491555e-02	8.840537e-03
340           	4.129229e-01	1.905026e-01	2.224203e-01	7.007489e-02	1.938894e-01	-1.238145e-01	1.588520e-01	-1.595884e-02	3.022946e-03	2.386878e-02	1.495733e-02	8.911442e-03
341           	4.129034e-01	1.904552e-01	2.224482e-01	7.003869e-02	1.938223e-01	-1.237836e-01	1.588030e-01	-1.599650e-02	3.022390e-03	2.392617e-02	1.498548e-02	8.940696e-03
342           	4.128068e-01	1.903685e-01	2.224382e-01	6.991157e-02	1.936785e-01	-1.237669e-01	1.587227e-01	-1.603486e-02	2.997050e-03	2.396672e-02	1.498041e-02	8.986309e-03
343           	4.128106e-01	1.903634e-01	2.224472e-01	6.988431e-02	1.936222e-01	-1.237379e-01	1.586801e-01	-1.604188e-02	2.987661e-03	2.396830e-02	1.497181e-02	8.996488e-03
344           	4.127353e-01	1.903234e-01	2.224119e-01	6.978680e-02	1.935012e-01	-1.237144e-01	1.586078e-01	-1.604424e-02	2.968849e-03	2.393443e-02	1.493607e-02	8.998368e-03
345           	4.127660e-01	1.903648e-01	2.224012e-01	6.974953e-02	1.934441e-01	-1.236945e-01	1.585693e-01	-1.601819e-02	2.971019e-03	2.386417e-02	1.490310e-02	8.961067e-03
346           	4.127020e-01	1.903651e-01	2.223369e-01	6.964670e-02	1.933239e-01	-1.236772e-01	1.585005e-01	-1.598589e-02	2.964668e-03	2.376010e-02	1.484472e-02	8.915380e-03
347           	4.127464e-01	1.904314e-01	2.223150e-01	6.962756e-02	1.932875e-01	-1.236600e-01	1.584737e-01	-1.594181e-02	2.970178e-03	2.365282e-02	1.479659e-02	8.856233e-03
348           	4.126605e-01	1.904357e-01	2.222248e-01	6.952793e-02	1.931715e-01	-1.236435e-01	1.584075e-01	-1.589458e-02	2.980759e-03	2.351470e-02	1.473811e-02	8.776590e-03
349           	4.127176e-01	1.905013e-01	2.222164e-01	6.947617e-02	1.931298e-01	-1.236537e-01	1.583917e-01	-1.585754e-02	2.995256e-03	2.342616e-02	1.470834e-02	8.717825e-03
350           	4.125928e-01	1.904683e-01	2.221245e-01	6.933350e-02	1.929785e-01	-1.236450e-01	1.583118e-01	-1.582810e-02	3.007070e-03	2.334559e-02	1.467987e-02	8.665727e-03
351           	4.126110e-01	1.905019e-01	2.221091e-01	6.926346e-02	1.929250e-01	-1.236615e-01	1.582932e-01	-1.580363e-02	3.027815e-03	2.331069e-02	1.468316e-02	8.627531e-03
352           	4.125176e-01	1.904611e-01	2.220565e-01	6.912968e-02	1.928137e-01	-1.236840e-01	1.582488e-01	-1.579772e-02	3.054818e-03	2.329361e-02	1.470162e-02	8.591987e-03
353           	4.125159e-01	1.904489e-01	2.220670e-01	6.904868e-02	1.927500e-01	-1.237013e-01	1.582256e-01	-1.580907e-02	3.092658e-03	2.333112e-02	1.475822e-02	8.572900e-03
354           	4.124024e-01	1.903539e-01	2.220485e-01	6.891454e-02	1.926358e-01	-1.237213e-01	1.581786e-01	-1.584732e-02	3.127874e-03	2.341006e-02	1.483291e-02	8.577157e-03
355           	4.124209e-01	1.903396e-01	2.220813e-01	6.888684e-02	1.926183e-01	-1.237315e-01	1.581749e-01	-1.587084e-02	3.170740e-03	2.348287e-02	1.491217e-02	8.570695e-03
356           	4.123107e-01	1.902127e-01	2.220980e-01	6.875841e-02	1.925087e-01	-1.237503e-01	1.581295e-01	-1.594265e-02	3.206242e-03	2.362267e-02	1.501757e-02	8.605091e-03
357           	4.122895e-01	1.901832e-01	2.221063e-01	6.874306e-02	1.924810e-01	-1.237379e-01	1.581095e-01	-1.596153e-02	3.243512e-03	2.367423e-02	1.508063e-02	8.593603e-03
358           	4.122136e-01	1.901184e-01	2.220952e-01	6.869250e-02	1.924410e-01	-1.237485e-01	1.580947e-01	-1.598837e-02	3.264824e-03	2.372707e-02	1.512836e-02	8.598710e-03
359           	4.122222e-01	1.901171e-01	2.221051e-01	6.868468e-02	1.924217e-01	-1.237371e-01	1.580794e-01	-1.599400e-02	3.280664e-03	2.374108e-02	1.515121e-02	8.589878e-03
360           	4.121456e-01	1.901113e-01	2.220343e-01	6.864649e-02	1.923587e-01	-1.237122e-01	1.580355e-01	-1.596148e-02	3.289801e-03	2.365552e-02	1.511756e-02	8.537960e-03
361           	4.121836e-01	1.901452e-01	2.220384e-01	6.868580e-02	1.923915e-01	-1.237057e-01	1.580486e-01	-1.594660e-02	3.300005e-03	2.360116e-02	1.510058e-02	8.500576e-03
362           	4.121553e-01	1.901899e-01	2.219654e-01	6.870966e-02	1.923906e-01	-1.236810e-01	1.580358e-01	-1.588774e-02	3.287487e-03	2.345183e-02	1.501340e-02	8.438429e-03
363           	4.122217e-01	1.902718e-01	2.219499e-01	6.874985e-02	1.924276e-01	-1.236777e-01	1.580527e-01	-1.583904e-02	3.284956e-03	2.333020e-02	1.495006e-02	8.380144e-03
364           	4.122154e-01	1.903188e-01	2.218966e-01	6.876934e-02	1.924590e-01	-1.236897e-01	1.580743e-01	-1.578894e-02	3.286130e-03	2.318986e-02	1.488106e-02	8.308798e-03
365           	4.123485e-01	1.904332e-01	2.219153e-01	6.885032e-02	1.925661e-01	-1.237158e-01	1.581409e-01	-1.574105e-02	3.294997e-03	2.306931e-02	1.482965e-02	8.239657e-03
366           	4.123656e-01	1.904793e-01	2.218863e-01	6.883849e-02	1.925889e-01	-1.237504e-01	1.581697e-01	-1.570350e-02	3.306440e-03	2.296160e-02	1.478724e-02	8.174358e-03
367           	4.125479e-01	1.906096e-01	2.219383e-01	6.895144e-02	1.927570e-01	-1.238056e-01	1.582813e-01	-1.566432e-02	3.328725e-03	2.286877e-02	1.476311e-02	8.105660e-03
368           	4.126257e-01	1.906880e-01	2.219377e-01	6.897596e-02	1.928474e-01	-1.238714e-01	1.583594e-01	-1.562482e-02	3.365535e-03	2.276471e-02	1.474789e-02	8.016818e-03
369           	4.128529e-01	1.908530e-01	2.220000e-01	6.902497e-02	1.929906e-01	-1.239656e-01	1.584781e-01	-1.557351e-02	3.415275e-03	2.266596e-02	1.474826e-02	7.917706e-03
370           	4.129267e-01	1.909452e-01	2.219815e-01	6.902543e-02	1.930590e-01	-1.240335e-01	1.585462e-01	-1.551813e-02	3.467169e-03	2.256668e-02	1.475051e-02	7.816169e-03
371           	4.131341e-01	1.911250e-01	2.220091e-01	6.911072e-02	1.932109e-01	-1.241002e-01	1.586555e-01	-1.544207e-02	3.532291e-03	2.244971e-02	1.475715e-02	7.692564e-03
372           	4.132202e-01	1.912465e-01	2.219737e-01	6.908383e-02	1.932486e-01	-1.241648e-01	1.587067e-01	-1.536356e-02	3.595236e-03	2.232207e-02	1.475627e-02	7.565799e-03
373           	4.133931e-01	1.914361e-01	2.219570e-01	6.913812e-02	1.933391e-01	-1.242009e-01	1.587700e-01	-1.526044e-02	3.665114e-03	2.216330e-02	1.474676e-02	7.416534e-03
